muscle,url,muscle_group
Abdominal Muscles,https://app.strength.muscleandmotion.com/submuscle/13,
Abductor Digiti Minimi,https://app.strength.muscleandmotion.com/submuscle/68.3,
Abductor Digiti Minimi (1),https://app.strength.muscleandmotion.com/submuscle/59.1,Sole of Foot (1st Plantar Layer)
Abductor Halluci (3),https://app.strength.muscleandmotion.com/submuscle/59.3,Sole of Foot (1st Plantar Layer)
Abductor Pollicis Brevis (1),https://app.strength.muscleandmotion.com/submuscle/57.1,Intrinsic Muscles of the Thumb
Abductor Pollicis Longus (1),https://app.strength.muscleandmotion.com/submuscle/56.1,Extrinsic Muscles of the Thumb
Adductor Brevis,https://app.strength.muscleandmotion.com/submuscle/6.3,
Adductor Hallucis (2),https://app.strength.muscleandmotion.com/submuscle/61.2,Sole of Foot (3rd Plantar Layer)
Adductor Longus,https://app.strength.muscleandmotion.com/submuscle/6.4,
Adductor Magnus,https://app.strength.muscleandmotion.com/submuscle/6.1,
Adductor Pollicis (4),https://app.strength.muscleandmotion.com/submuscle/57.4,Intrinsic Muscles of the Thumb
Anconeus,https://app.strength.muscleandmotion.com/submuscle/29,
Anterior Deltoid,https://app.strength.muscleandmotion.com/submuscle/3.1,
Anterior Scalene,https://app.strength.muscleandmotion.com/submuscle/71.1,
Articularis Genu,https://app.strength.muscleandmotion.com/submuscle/99,
Biceps Brachii,https://app.strength.muscleandmotion.com/submuscle/30,
"Biceps Brachii, long head",https://app.strength.muscleandmotion.com/submuscle/30.2,
"Biceps Brachii, short head",https://app.strength.muscleandmotion.com/submuscle/30.1,
Biceps Femoris Long Head (Hamstring) (4),https://app.strength.muscleandmotion.com/submuscle/33.4,Hamstrings
Biceps Femoris Short Head (Hamstring) (3),https://app.strength.muscleandmotion.com/submuscle/33.3,Hamstrings
Brachialis,https://app.strength.muscleandmotion.com/submuscle/31,
Brachioradialis,https://app.strength.muscleandmotion.com/submuscle/15,
Buccinator (10),https://app.strength.muscleandmotion.com/submuscle/80.11,
Coccygeus,https://app.strength.muscleandmotion.com/submuscle/82.1,
Coracobrachialis,https://app.strength.muscleandmotion.com/submuscle/32,
Corrugator Supercilii (2),https://app.strength.muscleandmotion.com/submuscle/80.2,Muscles of Facial Expression
Deep Layer,https://app.strength.muscleandmotion.com/submuscle/78.2,
Deltoid,https://app.strength.muscleandmotion.com/submuscle/3,
Depressor Anguli Oris (13),https://app.strength.muscleandmotion.com/submuscle/80.14,
Depressor Labii Inferioris (14),https://app.strength.muscleandmotion.com/submuscle/80.15,
Diaphragm,https://app.strength.muscleandmotion.com/submuscle/63,
Diaphragm Muscle (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.5,
Diaphragm Muscle (Respiration),https://app.strength.muscleandmotion.com/submuscle/67.3,
Digastric,https://app.strength.muscleandmotion.com/submuscle/77.3,
Dorsal Interossei (2),https://app.strength.muscleandmotion.com/submuscle/62.2,Sole of Foot (4th Plantar Layer)
Dorsal Interossei of the Hand,https://app.strength.muscleandmotion.com/submuscle/85.1,
Erector Spinae,https://app.strength.muscleandmotion.com/submuscle/21,
Erector Spinae Thoracic (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.11,
Extensor Carpi Radialis Brevis (3),https://app.strength.muscleandmotion.com/submuscle/4.3,Wrist Extensors
Extensor Carpi Radialis Longus,https://app.strength.muscleandmotion.com/submuscle/84.1,
Extensor Carpi Radialis Longus (2),https://app.strength.muscleandmotion.com/submuscle/4.2,Wrist Extensors
Extensor Carpi Ulnaris,https://app.strength.muscleandmotion.com/submuscle/86.1,
Extensor Carpi Ulnaris (4),https://app.strength.muscleandmotion.com/submuscle/4.4,Wrist Extensors
Extensor Digiti Minimi (6),https://app.strength.muscleandmotion.com/submuscle/4.6,Wrist Extensors
Extensor Digitorum (1),https://app.strength.muscleandmotion.com/submuscle/4.1,Wrist Extensors
Extensor Digitorum Brevis,https://app.strength.muscleandmotion.com/submuscle/97,
Extensor Digitorum Longus,https://app.strength.muscleandmotion.com/submuscle/35,
Extensor Hallucis Brevis,https://app.strength.muscleandmotion.com/submuscle/98,
Extensor Hallucis Longus,https://app.strength.muscleandmotion.com/submuscle/36,
Extensor Indicis (5),https://app.strength.muscleandmotion.com/submuscle/4.5,Wrist Extensors
Extensor Pollicis Brevis (3),https://app.strength.muscleandmotion.com/submuscle/56.3,Extrinsic Muscles of the Thumb
